Pais_EN,Pais_ES,Dimension_EN,Dimension_ES,Factor_EN,Factor_ES,Indicador_EN,Indicador_ES,Indicador_Nombre_EN,Indicador_Nombre_ES,Anio_Texto,Anio_Fecha_y_Hora,Nivel_de_madurez,Nivel_de_madurez_texto_EN,Nivel_de_madurez_texto_ES
Estonia,Estonia,Legal Frameworks,Marcos legales,Legal Investigation,Investigación jurídica,Law enforcement ,Cumplimiento de la ley,Legal Investigation: Law enforcement ,Investigación jurídica: Cumplimiento de la ley,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Coordination,Coordinación,Incident Response: Coordination,Respuesta a incidentes: Coordinación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,"Privacy, data protection and other human rights","Privacidad, protección de datos y otros derechos humanos","Cybersecurity Legal Frameworks: Privacy, data protection and other human rights","Marcos jurídicos de seguridad cibernética: Privacidad, protección de datos y otros derechos humanos",2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Identification,Identificación,Critical National Infrastructure (CNI) Protection: Identification,Protección de la Infraestructura Crítica Nacional (ICN): Identificación,2015,2015,3,Established,Establecido
Israel,Israel,Technologies,Tecnologías,Crisis Management,Gestión de crisis,Planning ,Planeación,Crisis Management: Planning ,Gestión de crisis: Planeación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Legal Frameworks,Marcos legales,Responsible Reporting,Divulgación responsible de la información,Responsible disclosure,Divulgación responsible de la información,Responsible Reporting: Responsible disclosure,Divulgación responsible de la información: Divulgación responsible de la información,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,National resilience,Resiliencia nacional,National Infrastructure Resilience: National resilience,Resiliencia de la infraestructura nacional: Resiliencia nacional,2015,2015,3,Established,Establecido
United States,Estados Unidos,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Coordination,Coordinación,Cyber Defense Consideration: Coordination,Defensa cibernética: Coordinación,2015,2015,4,Stategic,Estratégico
Israel,Israel,Culture and Society,Cultura y sociedad,Cybersecurity Mind-set,Mentalidad de seguridad cibernética,Private sector,En el sector privado,Cybersecurity Mind-set: Private sector,Mentalidad de seguridad cibernética: En el sector privado,2015,2015,5,Dynamic,Dinámico
Republic of Korea,República de Corea,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Coordination,Coordinación,Cyber Defense Consideration: Coordination,Defensa cibernética: Coordinación,2015,2015,3,Established,Establecido
Estonia,Estonia,Culture and Society,Cultura y sociedad,Privacy Online,Privacidad en línea,Employee privacy,Privacidad del empleado,Privacy Online: Employee privacy,Privacidad en línea: Privacidad del empleado,2015,2015,4,Stategic,Estratégico
Israel,Israel,Culture and Society,Cultura y sociedad,Privacy Online,Privacidad en línea,Privacy standards,Normas de privacidad,Privacy Online: Privacy standards,Privacidad en línea: Normas de privacidad,2015,2015,3,Established,Establecido
Israel,Israel,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Identification and designation,Identificación y designación,Incident Response: Identification and designation,Respuesta a incidentes: Identificación y designación,2015,2015,4,Stategic,Estratégico
Israel,Israel,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Strategy,Estrategia,Cyber Defense Consideration: Strategy,Defensa cibernética: Estrategia,2015,2015,5,Dynamic,Dinámico
Israel,Israel,Legal Frameworks,Marcos legales,Legal Investigation,Investigación jurídica,Law enforcement ,Cumplimiento de la ley,Legal Investigation: Law enforcement ,Investigación jurídica: Cumplimiento de la ley,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Culture and Society,Cultura y sociedad,Privacy Online,Privacidad en línea,Privacy standards,Normas de privacidad,Privacy Online: Privacy standards,Privacidad en línea: Normas de privacidad,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Procurement,Adquisiciones,Adherence to Standards: Procurement,Adhesión a las normas: Adquisiciones,2015,2015,3,Established,Establecido
United States,Estados Unidos,Technologies,Tecnologías,Cybersecurity Coordinating Organizations,Organizaciones de coordinación de seguridad cibernética,Command and control center,Centro de mando y control,Cybersecurity Coordinating Organizations: Command and control center,Organizaciones de coordinación de seguridad cibernética: Centro de mando y control,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Software development,Desarrollo de software,Adherence to Standards: Software development,Adhesión a las normas: Desarrollo de software,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Cybersecurity Marketplace,Mercado de la ciberseguridad,Cybersecurity technologies,Tecnologías de seguridad cibernética,Cybersecurity Marketplace: Cybersecurity technologies,Mercado de la ciberseguridad: Tecnologías de seguridad cibernética,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Organization,Organización,Incident Response: Organization,Respuesta a incidentes: Organización,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Culture and Society,Cultura y sociedad,Cybersecurity Mind-set,Mentalidad de seguridad cibernética,Government,En el gobierno,Cybersecurity Mind-set: Government,Mentalidad de seguridad cibernética: En el gobierno,2015,2015,5,Dynamic,Dinámico
Republic of Korea,República de Corea,Education,Educación,"Corporate Governance, Knowledge, and Standards","Gobernanza corporativa, conocimiento y normas",Private and State owned companies' understanding of cybersecurity,Comprensión de seguridad cibernética por parte de empresas privadas y estatales,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity","Gobernanza corporativa, conocimiento y normas: Comprensión de seguridad cibernética por parte de empresas privadas y estatales",2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Culture and Society,Cultura y sociedad,Cybersecurity Mind-set,Mentalidad de seguridad cibernética,Government,En el gobierno,Cybersecurity Mind-set: Government,Mentalidad de seguridad cibernética: En el gobierno,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Identification and designation,Identificación y designación,Incident Response: Identification and designation,Respuesta a incidentes: Identificación y designación,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Coordination,Coordinación,Incident Response: Coordination,Respuesta a incidentes: Coordinación,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Strategy,Estrategia,Cyber Defense Consideration: Strategy,Defensa cibernética: Estrategia,2015,2015,5,Dynamic,Dinámico
Israel,Israel,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Legislative frameworks for ICT security,Para la seguridad de las TIC,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,Marcos jurídicos de seguridad cibernética: Para la seguridad de las TIC,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Software development,Desarrollo de software,Adherence to Standards: Software development,Adhesión a las normas: Desarrollo de software,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in e-commerce,En el comercio electrónico,Confidence and Trust on the Internet: Trust in e-commerce,Confianza en el uso de Internet: En el comercio electrónico,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in e-government,En el gobierno electrónico,Confidence and Trust on the Internet: Trust in e-government,Confianza en el uso de Internet: En el gobierno electrónico,2015,2015,5,Dynamic,Dinámico
Israel,Israel,Technologies,Tecnologías,Cybersecurity Marketplace,Mercado de la ciberseguridad,Cybercrime insurance,Seguros de delincuencia cibernética,Cybersecurity Marketplace: Cybercrime insurance,Mercado de la ciberseguridad: Seguros de delincuencia cibernética,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Technologies,Tecnologías,Crisis Management,Gestión de crisis,Planning ,Planeación,Crisis Management: Planning ,Gestión de crisis: Planeación,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Cybersecurity Marketplace,Mercado de la ciberseguridad,Cybersecurity technologies,Tecnologías de seguridad cibernética,Cybersecurity Marketplace: Cybersecurity technologies,Mercado de la ciberseguridad: Tecnologías de seguridad cibernética,2015,2015,5,Dynamic,Dinámico
Estonia,Estonia,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Response planning,Planeación de respuesta,Critical National Infrastructure (CNI) Protection: Response planning,Protección de la Infraestructura Crítica Nacional (ICN): Planeación de respuesta,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Software development,Desarrollo de software,Adherence to Standards: Software development,Adhesión a las normas: Desarrollo de software,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Substantive cybercrime law,Derecho sustantivo de delincuencia cibernética,Cybersecurity Legal Frameworks: Substantive cybercrime law,Marcos jurídicos de seguridad cibernética: Derecho sustantivo de delincuencia cibernética,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Legal Frameworks,Marcos legales,Legal Investigation,Investigación jurídica,Courts,Tribunales,Legal Investigation: Courts,Investigación jurídica: Tribunales,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Legislative frameworks for ICT security,Para la seguridad de las TIC,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,Marcos jurídicos de seguridad cibernética: Para la seguridad de las TIC,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Crisis Management,Gestión de crisis,Evaluation,Evaluación,Crisis Management: Evaluation,Gestión de crisis: Evaluación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Cybersecurity Coordinating Organizations,Organizaciones de coordinación de seguridad cibernética,Command and control center,Centro de mando y control,Cybersecurity Coordinating Organizations: Command and control center,Organizaciones de coordinación de seguridad cibernética: Centro de mando y control,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,Infrastructure technology,Infraestructura tecnológica,National Infrastructure Resilience: Infrastructure technology,Resiliencia de la infraestructura nacional: Infraestructura tecnológica,2015,2015,4,Stategic,Estratégico
Israel,Israel,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in e-government,En el gobierno electrónico,Confidence and Trust on the Internet: Trust in e-government,Confianza en el uso de Internet: En el gobierno electrónico,2015,2015,4,Stategic,Estratégico
Israel,Israel,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Procedural cybercrime law,Derecho procesal de delincuencia cibernética,Cybersecurity Legal Frameworks: Procedural cybercrime law,Marcos jurídicos de seguridad cibernética: Derecho procesal de delincuencia cibernética,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Procedural cybercrime law,Derecho procesal de delincuencia cibernética,Cybersecurity Legal Frameworks: Procedural cybercrime law,Marcos jurídicos de seguridad cibernética: Derecho procesal de delincuencia cibernética,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Education,Educación,National Availability of Cyber Education and Training,Disponibilidad nacional de la educación y formación cibernéticas,Education,Educación,National Availability of Cyber Education and Training: Education,Disponibilidad nacional de la educación y formación cibernéticas: Educación,2015,2015,3,Established,Establecido
United States,Estados Unidos,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Procurement,Adquisiciones,Adherence to Standards: Procurement,Adhesión a las normas: Adquisiciones,2015,2015,4,Stategic,Estratégico
Israel,Israel,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Coordination,Coordinación,Cyber Defense Consideration: Coordination,Defensa cibernética: Coordinación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Content,Contenido,Documented or Official National Cybersecurity Strategy: Content,Estrategia nacional de seguridad cibernética oficial o documentada: Contenido,2015,2015,4,Stategic,Estratégico
Israel,Israel,Culture and Society,Cultura y sociedad,Privacy Online,Privacidad en línea,Employee privacy,Privacidad del empleado,Privacy Online: Employee privacy,Privacidad en línea: Privacidad del empleado,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Response planning,Planeación de respuesta,Critical National Infrastructure (CNI) Protection: Response planning,Protección de la Infraestructura Crítica Nacional (ICN): Planeación de respuesta,2015,2015,3,Established,Establecido
Israel,Israel,Culture and Society,Cultura y sociedad,Cybersecurity Awareness,Conciencia de seguridad cibernética,Awareness raising,Sensibilización,Cybersecurity Awareness: Awareness raising,Conciencia de seguridad cibernética: Sensibilización,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Culture and Society,Cultura y sociedad,Privacy Online,Privacidad en línea,Employee privacy,Privacidad del empleado,Privacy Online: Employee privacy,Privacidad en línea: Privacidad del empleado,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Identification,Identificación,Critical National Infrastructure (CNI) Protection: Identification,Protección de la Infraestructura Crítica Nacional (ICN): Identificación,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Cybersecurity Marketplace,Mercado de la ciberseguridad,Cybersecurity technologies,Tecnologías de seguridad cibernética,Cybersecurity Marketplace: Cybersecurity technologies,Mercado de la ciberseguridad: Tecnologías de seguridad cibernética,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Organization,Organización,Incident Response: Organization,Respuesta a incidentes: Organización,2015,2015,4,Stategic,Estratégico
Israel,Israel,Legal Frameworks,Marcos legales,Legal Investigation,Investigación jurídica,Courts,Tribunales,Legal Investigation: Courts,Investigación jurídica: Tribunales,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,Infrastructure technology,Infraestructura tecnológica,National Infrastructure Resilience: Infrastructure technology,Resiliencia de la infraestructura nacional: Infraestructura tecnológica,2015,2015,2,Formative,Formativo
Estonia,Estonia,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Strategy development,Desarrollo de la estrategia,Documented or Official National Cybersecurity Strategy: Strategy development,Estrategia nacional de seguridad cibernética oficial o documentada: Desarrollo de la estrategia,2015,2015,5,Dynamic,Dinámico
United States,Estados Unidos,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Organization ,Organización,Documented or Official National Cybersecurity Strategy: Organization ,Estrategia nacional de seguridad cibernética oficial o documentada: Organización,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in e-commerce,En el comercio electrónico,Confidence and Trust on the Internet: Trust in e-commerce,Confianza en el uso de Internet: En el comercio electrónico,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Cybersecurity Marketplace,Mercado de la ciberseguridad,Cybercrime insurance,Seguros de delincuencia cibernética,Cybersecurity Marketplace: Cybercrime insurance,Mercado de la ciberseguridad: Seguros de delincuencia cibernética,2015,2015,2,Formative,Formativo
United States,Estados Unidos,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Organization,Organización,Critical National Infrastructure (CNI) Protection: Organization,Protección de la Infraestructura Crítica Nacional (ICN): Organización,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Organization ,Organización,Documented or Official National Cybersecurity Strategy: Organization ,Estrategia nacional de seguridad cibernética oficial o documentada: Organización,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Culture and Society,Cultura y sociedad,Privacy Online,Privacidad en línea,Employee privacy,Privacidad del empleado,Privacy Online: Employee privacy,Privacidad en línea: Privacidad del empleado,2015,2015,3,Established,Establecido
United States,Estados Unidos,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in use of online services,En los servicios en línea,Confidence and Trust on the Internet: Trust in use of online services,Confianza en el uso de Internet: En los servicios en línea,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Strategy,Estrategia,Cyber Defense Consideration: Strategy,Defensa cibernética: Estrategia,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Procedural cybercrime law,Derecho procesal de delincuencia cibernética,Cybersecurity Legal Frameworks: Procedural cybercrime law,Marcos jurídicos de seguridad cibernética: Derecho procesal de delincuencia cibernética,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,National resilience,Resiliencia nacional,National Infrastructure Resilience: National resilience,Resiliencia de la infraestructura nacional: Resiliencia nacional,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Culture and Society,Cultura y sociedad,Cybersecurity Mind-set,Mentalidad de seguridad cibernética,Society,En la sociedad,Cybersecurity Mind-set: Society,Mentalidad de seguridad cibernética: En la sociedad,2015,2015,5,Dynamic,Dinámico
Israel,Israel,Culture and Society,Cultura y sociedad,Cybersecurity Mind-set,Mentalidad de seguridad cibernética,Government,En el gobierno,Cybersecurity Mind-set: Government,Mentalidad de seguridad cibernética: En el gobierno,2015,2015,5,Dynamic,Dinámico
Republic of Korea,República de Corea,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in e-government,En el gobierno electrónico,Confidence and Trust on the Internet: Trust in e-government,Confianza en el uso de Internet: En el gobierno electrónico,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,National resilience,Resiliencia nacional,National Infrastructure Resilience: National resilience,Resiliencia de la infraestructura nacional: Resiliencia nacional,2015,2015,4,Stategic,Estratégico
Israel,Israel,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Content,Contenido,Documented or Official National Cybersecurity Strategy: Content,Estrategia nacional de seguridad cibernética oficial o documentada: Contenido,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Legislative frameworks for ICT security,Para la seguridad de las TIC,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,Marcos jurídicos de seguridad cibernética: Para la seguridad de las TIC,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Risk management,Gestión de riesgos,Critical National Infrastructure (CNI) Protection: Risk management,Protección de la Infraestructura Crítica Nacional (ICN): Gestión de riesgos,2015,2015,3,Established,Establecido
Israel,Israel,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in use of online services,En los servicios en línea,Confidence and Trust on the Internet: Trust in use of online services,Confianza en el uso de Internet: En los servicios en línea,2015,2015,4,Stategic,Estratégico
Israel,Israel,Education,Educación,"Corporate Governance, Knowledge, and Standards","Gobernanza corporativa, conocimiento y normas",Private and State owned companies' understanding of cybersecurity,Comprensión de seguridad cibernética por parte de empresas privadas y estatales,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity","Gobernanza corporativa, conocimiento y normas: Comprensión de seguridad cibernética por parte de empresas privadas y estatales",2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Identification,Identificación,Critical National Infrastructure (CNI) Protection: Identification,Protección de la Infraestructura Crítica Nacional (ICN): Identificación,2015,2015,5,Dynamic,Dinámico
United States,Estados Unidos,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Coordination,Coordinación,Critical National Infrastructure (CNI) Protection: Coordination,Protección de la Infraestructura Crítica Nacional (ICN): Coordinación,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,Cybersecurity Coordinating Organizations,Organizaciones de coordinación de seguridad cibernética,Incident response capacity,Capacidad de respuesta a incidentes,Cybersecurity Coordinating Organizations: Incident response capacity,Organizaciones de coordinación de seguridad cibernética: Capacidad de respuesta a incidentes,2015,2015,4,Stategic,Estratégico
Israel,Israel,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Organization ,Organización,Documented or Official National Cybersecurity Strategy: Organization ,Estrategia nacional de seguridad cibernética oficial o documentada: Organización,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Education,Educación,National Availability of Cyber Education and Training,Disponibilidad nacional de la educación y formación cibernéticas,Training,Formación,National Availability of Cyber Education and Training: Training,Disponibilidad nacional de la educación y formación cibernéticas: Formación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Education,Educación,Training and Educational Initatives within Public and Private Sectors,Formación e iniciativas educativas públicas y privadas,Training employees in cybersecurity,Capacitación de empleados en seguridad cibernética,Training and Educational Initatives within Public and Private Sectors: Training employees in cybersecurity,Formación e iniciativas educativas públicas y privadas: Capacitación de empleados en seguridad cibernética,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Technologies,Tecnologías,Cybersecurity Coordinating Organizations,Organizaciones de coordinación de seguridad cibernética,Command and control center,Centro de mando y control,Cybersecurity Coordinating Organizations: Command and control center,Organizaciones de coordinación de seguridad cibernética: Centro de mando y control,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,Crisis Management,Gestión de crisis,Planning ,Planeación,Crisis Management: Planning ,Gestión de crisis: Planeación,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Software development,Desarrollo de software,Adherence to Standards: Software development,Adhesión a las normas: Desarrollo de software,2015,2015,5,Dynamic,Dinámico
Estonia,Estonia,Technologies,Tecnologías,Digital Redundancy,Redundancia digital,Organization,Organización,Digital Redundancy: Organization,Redundancia digital: Organización,2015,2015,3,Established,Establecido
Estonia,Estonia,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Legislative frameworks for ICT security,Para la seguridad de las TIC,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,Marcos jurídicos de seguridad cibernética: Para la seguridad de las TIC,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Culture and Society,Cultura y sociedad,Confidence and Trust on the Internet,Confianza en el uso de Internet,Trust in e-commerce,En el comercio electrónico,Confidence and Trust on the Internet: Trust in e-commerce,Confianza en el uso de Internet: En el comercio electrónico,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Coordination,Coordinación,Critical National Infrastructure (CNI) Protection: Coordination,Protección de la Infraestructura Crítica Nacional (ICN): Coordinación,2015,2015,3,Established,Establecido
United States,Estados Unidos,Education,Educación,National Availability of Cyber Education and Training,Disponibilidad nacional de la educación y formación cibernéticas,Education,Educación,National Availability of Cyber Education and Training: Education,Disponibilidad nacional de la educación y formación cibernéticas: Educación,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Education,Educación,Training and Educational Initatives within Public and Private Sectors,Formación e iniciativas educativas públicas y privadas,Training employees in cybersecurity,Capacitación de empleados en seguridad cibernética,Training and Educational Initatives within Public and Private Sectors: Training employees in cybersecurity,Formación e iniciativas educativas públicas y privadas: Capacitación de empleados en seguridad cibernética,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Implementation of standards and minimal acceptable practices,Aplicación de las normas y prácticas mínimas aceptables,Adherence to Standards: Implementation of standards and minimal acceptable practices,Adhesión a las normas: Aplicación de las normas y prácticas mínimas aceptables,2015,2015,4,Stategic,Estratégico
Israel,Israel,Education,Educación,National Development of Cybersecurity Education,Desarrollo nacional de la educación de seguridad cibernética,National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética,National Development of Cybersecurity Education: National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética: Desarrollo nacional de la educación de seguridad cibernética,2015,2015,5,Dynamic,Dinámico
United States,Estados Unidos,Education,Educación,National Development of Cybersecurity Education,Desarrollo nacional de la educación de seguridad cibernética,National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética,National Development of Cybersecurity Education: National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética: Desarrollo nacional de la educación de seguridad cibernética,2015,2015,3,Established,Establecido
Israel,Israel,Education,Educación,Training and Educational Initatives within Public and Private Sectors,Formación e iniciativas educativas públicas y privadas,Training employees in cybersecurity,Capacitación de empleados en seguridad cibernética,Training and Educational Initatives within Public and Private Sectors: Training employees in cybersecurity,Formación e iniciativas educativas públicas y privadas: Capacitación de empleados en seguridad cibernética,2015,2015,5,Dynamic,Dinámico
Israel,Israel,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Implementation of standards and minimal acceptable practices,Aplicación de las normas y prácticas mínimas aceptables,Adherence to Standards: Implementation of standards and minimal acceptable practices,Adhesión a las normas: Aplicación de las normas y prácticas mínimas aceptables,2015,2015,4,Stategic,Estratégico
